4506681889781447|06|2028|583
4506681889784235|06|2028|785
4506681889788582|06|2028|336
4506681889784623|06|2028|710
4506681889785596|06|2028|445
4506681889787626|06|2028|174
4506681889783500|06|2028|483
4506681889783542|06|2028|199
4506681889782254|06|2028|477
4506681889784920|06|2028|103
4506681889783344|06|2028|211
4506681889783898|06|2028|098
4506681889786578|06|2028|117
4506681889786818|06|2028|742
4506681889789671|06|2028|698
4506681889786131|06|2028|785
4506681889789754|06|2028|906
4506681889785158|06|2028|051
4506681889789432|06|2028|675
4506681889786842|06|2028|294
